group1,group2,group3,group4,group5,group6,id,x,y,z
17700961920847,57178914458519,76125105239927,56944745946625,44793408109713,12777006979282,0,0,100,0
20922270472779,72724890403591,1.0951762760105e+14,76662432862260,60808007165063,17746058605339,1,1,100,0
24253496339466,88292071366752,1.4243549639175e+14,96460787756348,76799254538119,22691991632209,2,2,100,0
27677903909176,1.0388046131814e+14,1.7493461804496e+14,1.1630802121453e+14,92766069244271,27616292350929,3,3,100,0
31180930958599,1.1948834902448e+14,2.0706277180699e+14,1.3617794018785e+14,1.08706281897e+14,32520064565644,4,4,100,0
34749891091672,1.3511270087557e+14,2.3886055778869e+14,1.5604895356281e+14,1.2461695763992e+14,37404077076191,5,5,100,0
38373717115549,1.5074948039036e+14,2.7036225078927e+14,1.7590323864938e+14,1.4049464303885e+14,42268808529118,6,6,100,0
42042739697346,1.663939068769e+14,3.0159656652798e+14,1.957260445089e+14,1.5633555252453e+14,47114488784430,7,7,100,0
45748496428871,1.8204066370471e+14,3.3258734701992e+14,2.1550511139966e+14,1.7213570707991e+14,51941136355804,8,8,100,0
49483567102344,1.9768406495081e+14,3.6335417176618e+14,2.3523018854017e+14,1.8789103547264e+14,56748591775530,9,9,100,0
53241431581713,2.133181877483e+14,3.9391290124104e+14,2.5489263492924e+14,2.0359744635164e+14,61536546937786,10,10,100,0
57016347155101,2.2893697646028e+14,4.2427615888311e+14,2.7448509016388e+14,2.1925087789959e+14,66304570609046,11,11,100,0
60803242708051,2.4453432396294e+14,4.5445375747606e+14,2.9400120409384e+14,2.3484733088696e+14,71052130503847,12,12,100,0
64597627301569,2.6010413338082e+14,4.8445307538328e+14,3.13435415853e+14,2.5038288672091e+14,75778611566943,13,13,100,0
68395511375349,2.7564036579661e+14,5.1427938785212e+14,3.3278277408333e+14,2.658537197905e+14,80483332306948,14,14,100,0
72193338653179,2.9113707463941e+14,5.4393615799945e+14,3.5203879158559e+14,2.812560998275e+14,85165557774172,15,15,100,0
75987927379711,3.065884305591e+14,5.7342529193723e+14,3.7119932854763e+14,2.9658639074265e+14,89824510617876,16,16,100,0
79776419591785,3.2198873836818e+14,6.0274736193616e+14,3.9026049943604e+14,3.1184104608758e+14,94459380172240,17,17,100,0
83556237327633,3.3733244775723e+14,6.3190180124987e+14,4.0921859941532e+14,3.2701660252327e+14,99069329898309,18,18,100,0
87325044827605,3.5261415914323e+14,6.608870738617e+14,4.2807004681317e+14,3.4210967219553e+14,1.0365350343666e+14,19,19,100,0
91080715910196,3.6782862576198e+14,6.8970082209522e+14,4.4681133871224e+14,3.5711693467975e+14,1.0821102949721e+14,20,20,100,0
94821305819228,3.8297075291001e+14,7.1833999473026e+14,4.6543901722638e+14,3.7203512896952e+14,1.1274102578497e+14,21,21,100,0
98545026940850,3.9803559513097e+14,7.4680095810938e+14,4.8394964443322e+14,3.8686104584704e+14,1.1724260213834e+14,22,22,100,0
1.0225022770795e+14,4.1301835150324e+14,7.7507959168527e+14,5.0233978422057e+14,4.0159152135516e+14,1.2171486315297e+14,23,23,100,0
1.059353749262e+14,4.2791436073929e+14,8.0317137141348e+14,5.2060598977942e+14,4.1622342885165e+14,1.2615690972724e+14,24,24,100,0
1.0959903782257e+14,4.427190946137e+14,8.3107144079141e+14,5.3874479539383e+14,4.3075367510229e+14,1.3056784105873e+14,25,25,100,0
1.1323987475868e+14,4.5742815157826e+14,8.5877467230439e+14,5.567527117289e+14,4.4517919499275e+14,1.349467557341e+14,26,26,100,0
1.1685662168022e+14,4.7203725009146e+14,8.8627572011621e+14,5.7462622377685e+14,4.594969475837e+14,1.3929275271495e+14,27,27,100,0
1.2044808217786e+14,4.8654222197043e+14,9.1356906522546e+14,5.923617908377e+14,4.7370391292073e+14,1.4360493213223e+14,28,28,100,0
1.2401311894132e+14,5.0093900589715e+14,9.4064905409945e+14,6.0995584802169e+14,4.8779708954637e+14,1.4788239593737e+14,29,29,100,0
1.275506464175e+14,5.1522364117533e+14,9.6750993167315e+14,6.2740480886111e+14,5.0177349265224e+14,1.5212424844846e+14,30,30,100,0
1.3105962450939e+14,5.2939226180589e+14,9.9414586949009e+14,6.4470506870199e+14,5.1563015280507e+14,1.5632959682167e+14,31,31,100,0
1.3453905317422e+14,5.4344109092612e+14,1.0205509896638e+15,6.6185300861505e+14,5.2936411517927e+14,1.6049755147153e+14,32,32,100,0
1.3798796779836e+14,5.5736643563976e+14,1.0467193852514e+15,6.7884499962109e+14,5.4297243923025e+14,1.6462722645782e+14,33,33,100,0
1.4140543524291e+14,5.7116468225065e+14,1.0726451375526e+15,6.9567740707281e+14,5.564521987455e+14,1.6871773985247e+14,34,34,100,0
1.4479055046132e+14,5.8483229205834e+14,1.0983223307968e+15,7.1234659501891e+14,5.6980048294899e+14,1.72768214315e+14,35,35,100,0
1.481424336574e+14,5.9836579698582e+14,1.1237450646268e+15,7.2884893075309e+14,5.8301439490084e+14,1.7677777677304e+14,36,36,100,0
1.5146022781812e+14,6.117617963942e+14,1.1489074644319e+15,7.4518078882023e+14,5.9609105464254e+14,1.807455594753e+14,37,37,100,0
1.547430966372e+14,6.2501695377692e+14,1.1738036904777e+15,7.6133855522703e+14,6.0902759937189e+14,1.8467070008014e+14,38,38,100,0
