id,temp,x,y,z
0,928.03396580556,100,0,0
1,937.80631510162,100,1,0
2,947.74058035828,100,2,0
3,957.51115058201,100,3,0
4,967.20763441483,100,4,0
5,976.8128527372,100,5,0
6,986.33601563158,100,6,0
7,995.77808121384,100,7,0
8,1005.1407504027,100,8,0
9,1014.4238383093,100,9,0
10,1023.6264629891,100,10,0
11,1032.7466809701,100,11,0
12,1041.7816617142,100,12,0
13,1050.7277641914,100,13,0
14,1059.5805476216,100,14,0
15,1068.3349024537,100,15,0
16,1076.9854195954,100,16,0
17,1085.5262193092,100,17,0
18,1093.9510174705,100,18,0
19,1102.2531692194,100,19,0
20,1110.4256354176,100,20,0
21,1118.461310632,100,21,0
22,1126.353140596,100,22,0
23,1134.0941076503,100,23,0
24,1141.6773534576,100,24,0
25,1149.0962768688,100,25,0
26,1156.344565428,100,26,0
27,1163.4162835968,100,27,0
28,1170.3060990991,100,28,0
29,1177.0092574475,100,29,0
30,1183.5215958123,100,30,0
31,1189.8395763567,100,31,0
32,1195.9603023182,100,32,0
33,1201.8815201545,100,33,0
34,1207.6015776108,100,34,0
35,1213.1194365994,100,35,0
36,1218.4346788245,100,36,0
37,1223.547448216,100,37,0
38,1228.4584040683,100,38,0
39,1233.1686800779,100,39,0
40,1237.679846813,100,40,0
41,1241.9938792239,100,41,0
42,1246.1131292005,100,42,0
43,1250.0403032383,100,43,0
44,1253.7784363898,100,44,0
45,1257.330872132,100,45,0
46,1260.7012497064,100,46,0
47,1263.8934735867,100,47,0
48,1266.9116806115,100,48,0
49,1269.7602035253,100,49,0
50,1272.4435338209,100,50,0
51,1274.9662865792,100,51,0
52,1277.3331700122,100,52,0
53,1279.5489620684,100,53,0
54,1281.6184947959,100,54,0
55,1283.5466456757,100,55,0
56,1285.3383337271,100,56,0
57,1286.9985174892,100,57,0
58,1288.5321916725,100,58,0
59,1289.9443803262,100,59,0
60,1291.2401255933,100,60,0
61,1292.4244724654,100,61,0
62,1293.5024514021,100,62,0
63,1294.4790613173,100,63,0
64,1295.3592551554,100,64,0
65,1296.1479296833,100,65,0
66,1296.8499198409,100,66,0
67,1297.4699967018,100,67,0
68,1298.0128673144,100,68,0
69,1298.4831744169,100,69,0
70,1298.8854944105,100,70,0
71,1299.2243328474,100,71,0
72,1299.504117645,100,72,0
73,1299.7291910637,100,73,0
74,1299.9038019126,100,74,0
75,1300.0320991356,100,75,0
76,1300.1181273067,100,76,0
77,1300.1658239482,100,77,0
78,1300.1790179986,100,78,0
79,1300.1614284668,100,79,0
80,1300.1166624628,100,80,0
81,1300.0482123791,100,81,0
82,1299.9594524259,100,82,0
