group1,group2,group3,group4,group5,group6,id,x,y,z
19971227416430,64440575070482,85585196017519,63779705165815,49976507801419,14220607295059,0,0,100,0
23580751883265,81843093662840,1.2287744000285e+14,85715731797398,67724279745408,19714072902951,1,1,100,0
27303745694313,99228609967744,1.5955878838782e+14,1.076903067806e+14,85405236609449,25169511689361,2,2,100,0
31120512041382,1.1659457768603e+14,1.956888696978e+14,1.2966501038372e+14,1.0301592387064e+14,30587936304774,3,3,100,0
35013974984301,1.3393681892532e+14,2.3131837376226e+14,1.5160822828476e+14,1.2055203563498e+14,35970026112157,4,4,100,0
38969395558770,1.5125031451308e+14,2.6649078693522e+14,1.7349439636792e+14,1.3800905747017e+14,41316279024410,5,5,100,0
42973987306127,1.6852922005618e+14,3.0124274073331e+14,1.9530254476291e+14,1.5538218844374e+14,46626947461048,6,6,100,0
47016633408168,1.8576708866465e+14,3.3560478620486e+14,2.1701538616369e+14,1.7266646457977e+14,51902061025510,7,7,100,0
51087545110031,2.0295663929716e+14,3.6960122914416e+14,2.3861805440909e+14,1.8985642031587e+14,57141318259552,8,8,100,0
55178277538104,2.2009082779968e+14,4.0325274972049e+14,2.6009867163941e+14,2.0694711813849e+14,62344411088346,9,9,100,0
59281517069914,2.3716279757872e+14,4.3657661900447e+14,2.8144763932788e+14,2.2393401598163e+14,67510992358920,10,10,100,0
63390887464557,2.5416578781143e+14,4.6958683622766e+14,3.026570068333e+14,2.4081280474993e+14,72640638206842,11,11,100,0
67500740737348,2.7109285469446e+14,5.0229394798347e+14,3.2371972788445e+14,2.5757908872724e+14,77732770174040,12,12,100,0
71606095417270,2.8793713502447e+14,5.3470587565224e+14,3.4462965727222e+14,2.7422859800833e+14,82786729015029,13,13,100,0
75702690181004,3.0469251816179e+14,5.6682945475521e+14,3.6538210343932e+14,2.9075779684524e+14,87801966202687,14,14,100,0
79786785659722,3.2135316383596e+14,5.9866979683102e+14,3.8597304655302e+14,3.0716338780277e+14,92777915410436,15,15,100,0
83855072973642,3.3791343303856e+14,6.3023040176474e+14,4.063988965531e+14,3.2344221693686e+14,97713976091944,16,16,100,0
87904518734601,3.543675307397e+14,6.6151268331151e+14,4.2665592119592e+14,3.3959089288708e+14,1.0260941019415e+14,17,17,100,0
91932534451754,3.707103636704e+14,6.9251782956636e+14,4.4674123048574e+14,3.5560663058935e+14,1.0746361426205e+14,18,18,100,0
95936861365239,3.8693725942517e+14,7.2324644767778e+14,4.6665236623113e+14,3.7148696109151e+14,1.1227603556518e+14,19,19,100,0
99915496766429,4.030438228848e+14,7.5369845071124e+14,4.8638707701208e+14,3.8722958031862e+14,1.170461330729e+14,20,20,100,0
1.0386661911035e+14,4.1902575261266e+14,7.8387285831722e+14,5.059430610732e+14,4.0283216761041e+14,1.2177332960177e+14,21,21,100,0
1.0778852252619e+14,4.3487867369623e+14,8.1376761792272e+14,5.2531775331462e+14,4.1829222873577e+14,1.2645696864682e+14,22,22,100,0
1.1167979154439e+14,4.5059895708782e+14,8.4338126230865e+14,5.4450932288374e+14,4.3360788254841e+14,1.3109655604913e+14,23,23,100,0
