id,temp,x,y,z
0,925.07934355924,100,0,0
1,933.94662799629,100,1,0
2,943.0154481201,100,2,0
3,951.9885349117,100,3,0
4,960.94696634623,100,4,0
5,969.87453670055,100,5,0
6,978.77925623651,100,6,0
7,987.66169600056,100,7,0
8,996.52321280182,100,8,0
9,1005.3635353054,100,9,0
10,1014.1814113756,100,10,0
11,1022.9743993639,100,11,0
12,1031.7390072068,100,12,0
13,1040.4707297994,100,13,0
14,1049.1641342533,100,14,0
15,1057.8129084866,100,15,0
16,1066.4099141845,100,16,0
17,1074.9472346598,100,17,0
18,1083.4162405712,100,18,0
19,1091.807676368,100,19,0
20,1100.1117738898,100,20,0
21,1108.318388933,100,21,0
22,1116.4171547901,100,22,0
23,1124.3976442454,100,23,0
24,1132.2495308819,100,24,0
25,1139.9627426542,100,25,0
26,1147.5276021392,100,26,0
27,1154.934949842,100,27,0
28,1162.1762489715,100,28,0
29,1169.2436708014,100,29,0
30,1176.1301607027,100,30,0
31,1182.8294848727,100,31,0
32,1189.3362582355,100,32,0
33,1195.6459540494,100,33,0
34,1201.7548959657,100,34,0
35,1207.6602355927,100,35,0
36,1213.3599167956,100,36,0
37,1218.8526311557,100,37,0
38,1224.1377684601,100,38,0
39,1229.2153661823,100,39,0
40,1234.0860613064,100,40,0
41,1238.7510467041,100,41,0
42,1243.2120329534,100,42,0
43,1247.471214559,100,43,0
44,1251.5312388128,100,44,0
45,1255.3951744765,100,45,0
46,1259.0664779019,100,46,0
47,1262.548954953,100,47,0
48,1265.8467184323,100,48,0
49,1268.964142236,100,49,0
50,1271.9058152888,100,50,0
51,1274.676497907,100,51,0
52,1277.2810841632,100,52,0
53,1279.7245723598,100,53,0
54,1282.0120443149,100,54,0
55,1284.1486525165,100,55,0
56,1286.1396126554,100,56,0
57,1287.9901983039,100,57,0
58,1289.7057344968,100,58,0
59,1291.291587853,100,59,0
60,1292.7531522901,100,60,0
61,1294.0958309857,100,61,0
62,1295.3250164818,100,62,0
63,1296.4460714325,100,63,0
64,1297.4643126242,100,64,0
65,1298.3849996609,100,65,0
66,1299.2133283657,100,66,0
67,1299.9544282019,100,67,0
68,1300.6133616115,100,68,0
69,1301.1951232456,100,69,0
70,1301.7046373915,100,70,0
71,1302.1467528663,100,71,0
72,1302.5262356741,100,72,0
73,1302.8477604937,100,73,0
74,1303.1159024594,100,74,0
75,1303.3351304733,100,75,0
76,1303.5098024591,100,76,0
77,1303.6441625567,100,77,0
78,1303.7423394051,100,78,0
79,1303.8083445964,100,79,0
80,1303.8460705426,100,80,0
81,1303.8592874537,100,81,0
82,1303.8516396368,100,82,0
83,1303.8266416533,100,83,0
84,1303.7876748901,100,84,0
85,1303.7379849495,100,85,0
86,1303.6806798978,100,86,0
87,1303.6187289685,100,87,0
88,1303.5549615898,100,88,0
89,1303.4920662476,100,89,0
90,1303.4325892275,100,90,0
91,1303.378933327,100,91,0
92,1303.3333567463,100,92,0
93,1303.2979723285,100,93,0
94,1303.2747471765,100,94,0
95,1303.2655025637,100,95,0
96,1303.2719140048,100,96,0
97,1303.2955113876,100,97,0
98,1303.3376790734,100,98,0
99,1303.3996563343,100,99,0
100,1303.4825376359,100,100,0
101,1303.5872733486,100,101,0
102,1303.7146705423,100,102,0
103,1303.8653938713,100,103,0
104,1304.0399665431,100,104,0
105,1304.2387713578,100,105,0
106,1304.462051837,100,106,0
107,1304.7099134479,100,107,0
108,1304.9823248819,100,108,0
109,1305.2791194894,100,109,0
110,1305.5999966813,100,110,0
111,1305.9445234116,100,111,0
112,1306.3121356936,100,112,0
113,1306.7021401504,100,113,0
114,1307.1137156133,100,114,0
115,1307.5459146964,100,115,0
116,1307.9976655174,100,116,0
117,1308.4677731093,100,117,0
118,1308.9549210993,100,118,0
119,1309.4576732887,100,119,0
120,1309.9744751956,100,120,0
121,1310.5036555288,100,121,0
122,1311.0434275956,100,122,0
123,1311.591890647,100,123,0
124,1312.1470310843,100,124,0
125,1312.7067236725,100,125,0
126,1313.2687324794,100,126,0
127,1313.8307117151,100,127,0
128,1314.3902064382,100,128,0
129,1314.944653121,100,129,0
130,1315.4913800104,100,130,0
131,1316.0276072464,100,131,0
132,1316.5504467522,100,132,0
133,1317.0569018923,100,133,0
134,1317.5438668286,100,134,0
135,1318.0081257123,100,135,0
136,1318.446351471,100,136,0
137,1318.8551042647,100,137,0
138,1319.2308297203,100,138,0
139,1319.5698568247,100,139,0
140,1319.868395459,100,140,0
141,1320.1225336008,100,141,0
142,1320.3282341617,100,142,0
143,1320.4813313662,100,143,0
144,1320.577526772,100,144,0
145,1320.612384742,100,145,0
146,1320.5813271011,100,146,0
147,1320.4796266404,100,147,0
148,1320.3023991976,100,148,0
149,1320.0445952302,100,149,0
150,1319.7009954518,100,150,0
151,1319.2662180461,100,151,0
152,1318.73473526,100,152,0
153,1318.1008763614,100,153,0
154,1317.3587973192,100,154,0
155,1316.5024376459,100,155,0
156,1315.5255031971,100,156,0
157,1314.4214785368,100,157,0
158,1313.1836428306,100,158,0
159,1311.805074233,100,159,0
160,1310.2786460519,100,160,0
161,1308.5970213792,100,161,0
162,1306.7526494669,100,162,0
163,1304.7377644787,100,163,0
164,1302.5443866241,100,164,0
165,1300.1643254489,100,165,0
166,1297.5891849897,100,166,0
167,1294.8103710405,100,167,0
168,1291.8190994868,100,168,0
169,1288.6064103607,100,169,0
170,1285.163170587,100,170,0
171,1281.4801166047,100,171,0
172,1277.5477946045,100,172,0
173,1273.3567520236,100,173,0
174,1268.8971570338,100,174,0
175,1264.1596275328,100,175,0
176,1259.1336123205,100,176,0
177,1253.8104323169,100,177,0
178,1248.1777514019,100,178,0
179,1242.2290649882,100,179,0
180,1235.9476217951,100,180,0
181,1229.332197376,100,181,0
182,1222.3559811644,100,182,0
183,1215.028935073,100,183,0
184,1207.3031532916,100,184,0
185,1199.2099643138,100,185,0
186,1190.6599479246,100,186,0
187,1181.7218173292,100,187,0
188,1172.2275258757,100,188,0
189,1162.3062450321,100,189,0
190,1151.642598034,100,190,0
191,1140.4569213507,100,191,0
192,1128.1537335993,100,192,0
193,1115.0865282527,100,193,0
194,1100.1109016696,100,194,0
195,1083.8033564195,100,195,0
196,1063.8922748799,100,196,0
197,1041.525284056,100,197,0
198,1011.6381975329,100,198,0
199,977.29176045171,100,199,0
200,912.25127739218,100,200,0
