time,group1max,group1norm,group2max,group2norm,memory,powernorm,tot_fissions
0,0,0,0,0,157025,0,0
0.0125,2.7724793723132e+14,4.901561725416e+18,1.1174409022805e+15,1.9727672589473e+19,175594,10000117.031883,3.0899654644422e+17
0.025,2.7725459350044e+14,4.9016768014818e+18,1.1174676840946e+15,1.9728134687866e+19,180370,10000360.147323,3.0900405853941e+17
0.0375,2.7726433258908e+14,4.9018455855938e+18,1.1175068698996e+15,1.9728812461054e+19,180645,10000716.331902,3.0901506439111e+17
0.05,2.7727735890674e+14,4.9020716366104e+18,1.1175592823783e+15,1.9729720204331e+19,181022,10001193.107324,3.0902979641457e+17
0.0625,2.7729374967371e+14,4.9023563070744e+18,1.1176252323752e+15,1.9730863351419e+19,181202,10001793.291639,3.0904834168558e+17
0.075,2.7731351506736e+14,4.9026997807437e+18,1.1177047610093e+15,1.9732242643012e+19,181431,10002517.248806,3.0907071145024e+17
0.0875,2.7733664257632e+14,4.9031018461094e+18,1.1177978181058e+15,1.9733857232498e+19,181548,10003364.510649,3.0909689124217e+17
0.1,2.7736311047968e+14,4.9035621312444e+18,1.1179043164212e+15,1.9735705628909e+19,181589,10004334.270655,3.0912685614078e+17
0.1125,2.7739289126126e+14,4.9040801631832e+18,1.1180241453978e+15,1.9737785935563e+19,181665,10005425.510368,3.0916057467644e+17
0.125,2.7742595234666e+14,4.9046553806952e+18,1.1181571741412e+15,1.9740095901488e+19,181750,10006637.027349,3.0919800969464e+17
0.1375,2.7746225921678e+14,4.9052871887032e+18,1.1183032638942e+15,1.974263313934e+19,181850,10007967.545937,3.0923912177836e+17
0.15,2.7750177283499e+14,4.905974913292e+18,1.1184622577415e+15,1.9745394945384e+19,181947,10009415.626608,3.0928386644732e+17
0.1625,2.7754445121024e+14,4.9067178289453e+18,1.1186339868714e+15,1.9748378408543e+19,181989,10010979.721194,3.0933219586426e+17
0.175,2.7759024900395e+14,4.9075151517438e+18,1.1188182689992e+15,1.975158038314e+19,182041,10012658.159193,3.0938405841182e+17
0.1875,2.7763911773556e+14,4.9083660429395e+18,1.1190149091934e+15,1.9754997503258e+19,182128,10014449.155109,3.0943939891942e+17
0.2,2.7769100569764e+14,4.9092696074296e+18,1.1192236995352e+15,1.9758626176608e+19,182203,10016350.805415,3.0949815856946e+17
0.2125,2.7774585807689e+14,4.9102248958727e+18,1.1194444196044e+15,1.9762462593021e+19,182228,10018361.09293,3.0956027503245e+17
0.225,2.7780361706708e+14,4.9112309066633e+18,1.1196768369344e+15,1.9766502732383e+19,182267,10020477.890912,3.0962568259357e+17
0.2375,2.7786422164436e+14,4.9122865820484e+18,1.1199207061084e+15,1.9770742349031e+19,182334,10022698.955221,3.0969431191046e+17
0.25,2.7792760805254e+14,4.9133908165953e+18,1.1201757707103e+15,1.9775177005762e+19,182370,10025021.94164,3.0976609054853e+17
0.2625,2.7799370955445e+14,4.914542452765e+18,1.1204417623254e+15,1.9779802056057e+19,182397,10027444.396941,3.0984094270471e+17
0.275,2.7806245658459e+14,4.9157402835215e+18,1.1207184011534e+15,1.9784612654554e+19,182466,10029963.764274,3.0991878937417e+17
0.2875,2.7813377684748e+14,4.9169830542286e+18,1.1210053964069e+15,1.9789603764666e+19,182519,10032577.387121,3.0999954847236e+17
0.3,2.7820759535583e+14,4.9182694631468e+18,1.1213024464625e+15,1.9794770160575e+19,182560,10035282.510388,3.1008313486888e+17
0.3125,2.7828383437199e+14,4.9195981605385e+18,1.1216092386248e+15,1.9800106423638e+19,182587,10038076.27868,3.1016946033395e+17
0.325,2.7836241354281e+14,4.9209677508533e+18,1.1219254496713e+15,1.9805606951162e+19,182607,10040955.740831,3.1025843367871e+17
0.3375,2.7844325011366e+14,4.9223767965031e+18,1.1222507467117e+15,1.9811265971566e+19,182642,10043917.857702,3.1034996099588e+17
0.35,2.785262588121e+14,4.9238238160481e+18,1.1225847867193e+15,1.9817077537081e+19,182639,10046959.498573,3.1044394554844e+17
0.3625,2.7861135198246e+14,4.9253072862424e+18,1.1229272170734e+15,1.9823035531978e+19,182661,10050077.44541,3.1054028790139e+17
0.375,2.7869843994877e+14,4.9268256484921e+18,1.1232776770188e+15,1.9829133698504e+19,182696,10053268.406126,3.1063888633157e+17
0.3875,2.7878743077037e+14,4.9283773045339e+18,1.1236357966844e+15,1.9835365619521e+19,182714,10056529.005878,3.1073963655875e+17
0.4,2.7887823032995e+14,4.929960618141e+18,1.1240011974347e+15,1.9841724725352e+19,182736,10059855.790653,3.1084243185634e+17
0.4125,2.7897074244179e+14,4.9315739167758e+18,1.1243734923065e+15,1.9848204300416e+19,182773,10063245.230737,3.1094716315869e+17
0.425,2.79064869011e+14,4.9332154944753e+18,1.1247522866504e+15,1.9854797494832e+19,182778,10066693.726707,3.1105371924615e+17
0.4375,2.7916051090144e+14,4.9348836270354e+18,1.1251371816074e+15,1.9861497385182e+19,182783,10070197.640246,3.1116198769734e+17
0.45,2.7925756473346e+14,4.9365765159313e+18,1.1255277612864e+15,1.9868296750089e+19,182833,10073753.18092,3.1127185139047e+17
0.4625,2.7935592802602e+14,4.9382923782199e+18,1.1259236133578e+15,1.9875188430094e+19,182828,10077356.588112,3.1138319412518e+17
0.475,2.7945549610885e+14,4.9400293926448e+18,1.1263243166952e+15,1.9882165111979e+19,182845,10081004.022217,3.1149589726037e+17
0.4875,2.7955616269841e+14,4.941785709561e+18,1.1267294436751e+15,1.988921936844e+19,182877,10084691.584768,3.1160984033618e+17
0.5,2.7965782009131e+14,4.9435594545194e+18,1.1271385609563e+15,1.9896343672484e+19,182886,10088415.325856,3.1172490130319e+17
0.5125,2.7976035946603e+14,4.9453487334134e+18,1.1275512306926e+15,1.9903530418092e+19,182930,10092171.254745,3.1184095685054e+17
0.525,2.7986367080109e+14,4.9471516309954e+18,1.1279670102055e+15,1.9910771914253e+19,182947,10095955.336978,3.1195788231626e+17
0.5375,2.7996764307941e+14,4.9489662143009e+18,1.1283854528049e+15,1.9918060398743e+19,182950,10099763.50147,3.1207555190679e+17
0.55,2.800721643328e+14,4.9507905337639e+18,1.1288061079666e+15,1.9925388042566e+19,182989,10103591.64292,3.1219383877118e+17
0.5625,2.8017712165356e+14,4.9526226232164e+18,1.1292285213848e+15,1.9932746949973e+19,183005,10107435.621941,3.1231261500535e+17
0.575,2.8028240161722e+14,4.9544605070873e+18,1.1296522366682e+15,1.9940129187382e+19,183021,10111291.279852,3.1243175210893e+17
0.5875,2.8038789026523e+14,4.9563022004748e+18,1.1300767952709e+15,1.9947526783656e+19,183035,10115154.438955,3.1255112099406e+17
0.6,2.8049347312437e+14,4.958145709353e+18,1.1305017365713e+15,1.9954931730929e+19,183073,10119020.903099,3.1267059200262e+17
0.6125,2.8059903526016e+14,4.9599890314285e+18,1.1309265980861e+15,1.9962335988046e+19,183069,10122886.459553,3.1279003496418e+17
0.625,2.8070446159485e+14,4.9618301616517e+18,1.131350916751e+15,1.9969731502709e+19,183084,10126746.890368,3.1290931954715e+17
0.6375,2.8080963705434e+14,4.9636670948164e+18,1.1317742295105e+15,1.9977110221911e+19,183092,10130597.977814,3.130283154266e+17
0.65,2.809144463113e+14,4.9654978212039e+18,1.132196072286e+15,1.9984464074434e+19,183096,10134435.495639,3.1314689201435e+17
0.6625,2.8101877430809e+14,4.9673203353228e+18,1.1326159820807e+15,1.9991785005969e+19,183119,10138255.227011,3.132649190133e+17
0.675,2.8112250617625e+14,4.9691326349973e+18,1.1330334966521e+15,1.9999064975434e+19,183143,10142052.962798,3.133822663642e+17
0.6875,2.8122552755206e+14,4.9709327266148e+18,1.1334481557841e+15,2.0006295976055e+19,183148,10145824.512395,3.1349880458036e+17
0.7,2.8132772437627e+14,4.9727186217558e+18,1.1338595004821e+15,2.0013470021832e+19,183172,10149565.696993,3.136144045395e+17
0.7125,2.8142898337074e+14,4.9744883450764e+18,1.1342670748893e+15,2.0020579179213e+19,183207,10153272.36577,3.1372893798418e+17
0.725,2.8152919172004e+14,4.9762399292766e+18,1.1346704250061e+15,2.0027615546854e+19,183229,10156940.38578,3.1384227720931e+17
0.7375,2.8162823773212e+14,4.9779714264177e+18,1.1350691013497e+15,2.0034571301102e+19,183257,10160565.665147,3.1395429577875e+17
0.75,2.8172601060395e+14,4.9796809038231e+18,1.1354626580089e+15,2.0041438679522e+19,183284,10164144.144838,3.140648682713e+17
0.7625,2.8182240071287e+14,4.9813664491148e+18,1.1358506538176e+15,2.0048210001116e+19,183312,10167671.809062,3.1417387060186e+17
0.775,2.8191729942577e+14,4.9830261670665e+18,1.1362326515875e+15,2.0054877653696e+19,183343,10171144.678991,3.1428117982744e+17
0.7875,2.8201059948357e+14,4.9846581862329e+18,1.1366082196542e+15,2.0061434120499e+19,183355,10174558.826391,3.1438667456837e+17
0.8,2.8210219518042e+14,4.9862606619642e+18,1.1369769325992e+15,2.0067871992307e+19,183385,10177910.379893,3.1449023520213e+17
0.8125,2.8219198233257e+14,4.9878317759839e+18,1.1373383711249e+15,2.0074183965747e+19,183400,10181195.524262,3.145917438406e+17
0.825,2.8227985849285e+14,4.9893697399327e+18,1.1376921229169e+15,2.0080362857532e+19,183425,10184410.507734,3.1469108455696e+17
0.8375,2.8236572305106e+14,4.9908727974062e+18,1.1380377830487e+15,2.008640161263e+19,183441,10187551.646296,3.1478814351782e+17
0.85,2.8244947730075e+14,4.9923392249643e+18,1.1383749542509e+15,2.0092293308327e+19,183454,10190615.325858,3.1488280905033e+17
