time,group1max,group1norm,group2max,group2norm,memory,powernorm,tot_fissions
0,0,0,0,0,77060,0,0
0.4,2.7737302299856e+14,4.9037110890954e+18,1.1179443184223e+15,1.973630539761e+19,93540,10004645.334842,3.0913646780422e+17
0.8,2.7755763476517e+14,4.9069101651976e+18,1.1186873701624e+15,1.9749155501069e+19,92619,10011366.549615,3.0934414858898e+17
1.2,2.7781068379054e+14,4.9113210209255e+18,1.1197059770685e+15,1.9766874883839e+19,93054,10020610.663001,3.0962978515725e+17
1.6,2.7813132637688e+14,4.9169317521835e+18,1.1209967758299e+15,1.9789416487859e+19,92958,10032345.704983,3.0999238965811e+17
2,2.785142209583e+14,4.9236503022556e+18,1.1225382856432e+15,1.9816411123696e+19,93163,10046373.271198,3.10425831537e+17
2.4,2.7895278668519e+14,4.9313617408413e+18,1.1243040270546e+15,1.9847397552831e+19,93457,10062448.68822,3.1092255055806e+17
2.8,2.7944025249506e+14,4.9399468859782e+18,1.1262667488502e+15,1.9881897311439e+19,93513,10080319.98048,3.114747608543e+17
3.2,2.7996997477339e+14,4.9492881677551e+18,1.1283997102864e+15,1.9919438289047e+19,93628,10099740.002974,3.120748258199e+17
3.6,2.8053554140206e+14,4.9592717296812e+18,1.1306771018545e+15,1.9959563190675e+19,93793,10120470.638455,3.127153878002e+17
4,2.8113083685387e+14,4.9697887704843e+18,1.1330743075378e+15,2.000183494316e+19,93903,10142285.370841,3.1338944760842e+17
4.4,2.8175012365023e+14,4.9807370830845e+18,1.1355682317735e+15,2.0045842890978e+19,93963,10164972.242184,3.1409045589386e+17
4.8,2.8238812212554e+14,4.9920224998751e+18,1.1381376192151e+15,2.0091208614744e+19,94105,10188336.618244,3.1481239859607e+17
5.2,2.8304009378379e+14,5.0035603828717e+18,1.1407633893009e+15,2.0137591929954e+19,94315,10212204.050455,3.1554988537767e+17
5.6,2.8370189856695e+14,5.0152766687912e+18,1.1434288666402e+15,2.0184695098266e+19,94226,10236422.24198,3.1629821037413e+17
6,2.8437002443124e+14,5.0271084524519e+18,1.1461199008682e+15,2.0232265184183e+19,94388,10260862.087315,3.170533843166e+17
6.4,2.8504156174942e+14,5.0390036040835e+18,1.1488247651671e+15,2.0280092530086e+19,94499,10285416.76034,3.1781210635352e+17
6.8,2.8571413291073e+14,5.0509195808782e+18,1.1515338747197e+15,2.0328005992167e+19,94397,10309999.176869,3.1857168564509e+17
7.2,2.8638578207655e+14,5.0628214994165e+18,1.1542393445596e+15,2.0375865204333e+19,94536,10334537.967789,3.1932991693619e+17
