time,group1max,group1norm,group2max,group2norm,memory,powernorm,tot_fissions
0,0,0,0,0,157026,0,0
0.025,2.7725234397381e+14,4.9016376552565e+18,1.1174586332723e+15,1.9727977493378e+19,175637,10000277.56457,3.0900150679072e+17
0.05,2.7726570244005e+14,4.9018686714974e+18,1.1175123824194e+15,1.972890517071e+19,177954,10000765.400701,3.0901658058229e+17
0.075,2.7728514881557e+14,4.9022057791713e+18,1.1175906276913e+15,1.9730258892925e+19,177960,10001476.537449,3.0903855420506e+17
0.1,2.7731114045782e+14,4.9026569649298e+18,1.1176952099365e+15,1.9732070742597e+19,178318,10002427.7371,3.0906794560178e+17
0.125,2.7734381102985e+14,4.9032245820302e+18,1.1178266675626e+15,1.9734350179672e+19,178448,10003623.866207,3.0910490514557e+17
0.15,2.773831692984e+14,4.9039088075129e+18,1.1179850364455e+15,1.9737097925121e+19,178803,10005065.212658,3.091494417319e+17
0.175,2.7742917804799e+14,4.9047090171169e+18,1.1181701674319e+15,1.9740311481872e+19,178925,10006750.37913,3.0920151218451e+17
0.2,2.774817798801e+14,4.905624234486e+18,1.1183818301397e+15,1.9743986938615e+19,179052,10008677.229204,3.0926105048958e+17
0.225,2.7754090534006e+14,4.906653272855e+18,1.1186197456556e+15,1.9748119538742e+19,179242,10010843.186477,3.0932797703802e+17
0.25,2.7760647595881e+14,4.9077947878037e+18,1.1188835987743e+15,1.9752703892188e+19,179310,10013245.345614,3.0940220205709e+17
0.275,2.7767840550599e+14,4.9090472991258e+18,1.1191730430393e+15,1.9757734063247e+19,179453,10015880.518195,3.0948362702685e+17
0.3,2.7775660025363e+14,4.9104091955053e+18,1.1194877018048e+15,1.9763203589347e+19,179515,10018745.242761,3.0957214499062e+17
0.325,2.7784095961726e+14,4.9118787455804e+18,1.1198271708154e+15,1.9769105525484e+19,179564,10021835.80762,3.0966764125984e+17
0.35,2.7793137569535e+14,4.91345408999e+18,1.1201910163533e+15,1.9775432412297e+19,179683,10025148.234828,3.0976999291876e+17
0.375,2.7802773366348e+14,4.9151332481593e+18,1.1205787768231e+15,1.9782176303311e+19,179804,10028678.294167,3.0987906925665e+17
0.4,2.7812991238959e+14,4.9169141288613e+18,1.1209899652276e+15,1.9789328807359e+19,179851,10032421.524809,3.0999473243712e+17
0.425,2.7823778396039e+14,4.9187945223173e+18,1.1214240672662e+15,1.9796881056851e+19,179859,10036373.219384,3.1011683700574e+17
0.45,2.7835121405989e+14,4.9207721065445e+18,1.1218805428533e+15,1.9804823733269e+19,179978,10040528.437065,3.1024523029444e+17
0.475,2.7847006179436e+14,4.9228444442453e+18,1.1223588254181e+15,1.9813147054697e+19,179973,10044881.997384,3.1037975223044e+17
0.5,2.785941803461e+14,4.9250089943853e+18,1.1228583245322e+15,1.9821840822277e+19,180012,10049428.503989,3.1052023607026e+17
0.525,2.7872341722647e+14,4.927263116172e+18,1.1233784269276e+15,1.983089443624e+19,180145,10054162.352909,3.1066650865517e+17
0.55,2.7885761399474e+14,4.9296040648309e+18,1.1239184953668e+15,1.9840296878889e+19,180108,10059077.72413,3.1081839015085e+17
0.575,2.789966063818e+14,4.9320289932066e+18,1.1244778691402e+15,1.9850036721063e+19,180152,10064168.585025,3.109756941534e+17
0.6,2.7914022449986e+14,4.9345349556491e+18,1.1250558649099e+15,1.9860102137744e+19,180442,10069428.698466,3.1113822793993e+17
0.625,2.7928829316951e+14,4.9371189136208e+18,1.1256517780305e+15,1.9870480930581e+19,180488,10074851.634414,3.1130579282684e+17
0.65,2.7944063240346e+14,4.9397777439212e+18,1.1262648844873e+15,1.9881160560903e+19,180448,10080430.786885,3.1147818469387e+17
0.675,2.7959705679183e+14,4.9425082281779e+18,1.1268944384291e+15,1.989212810752e+19,180459,10086159.352732,3.1165519332859e+17
0.7,2.7975737793973e+14,4.9453070956954e+18,1.1275396819404e+15,1.9903370438426e+19,180491,10092030.418659,3.1183660511505e+17
0.725,2.7992139834333e+14,4.9481709159408e+18,1.1281998205305e+15,1.9914873780538e+19,180927,10098036.744237,3.1202219632908e+17
0.75,2.8008891999395e+14,4.9510962490021e+18,1.1288740575633e+15,1.9926624321673e+19,180990,10104171.065978,3.1221174253404e+17
0.775,2.802597396244e+14,4.9540795625173e+18,1.1295615752521e+15,1.9938607878433e+19,181122,10110425.930038,3.1240501341148e+17
0.8,2.8043364987493e+14,4.9571172518971e+18,1.1302615393315e+15,1.9950809977074e+19,181200,10116793.73321,3.1260177402759e+17
0.825,2.8061043917392e+14,4.9602056386044e+18,1.1309730985663e+15,1.9963215846555e+19,181241,10123266.719651,3.1280178473238e+17
0.85,2.8078989272301e+14,4.9633409871041e+18,1.1316953887183e+15,1.997581048665e+19,181244,10129837.015648,3.1300480223364e+17
0.875,2.8097179220864e+14,4.966519499801e+18,1.1324275313846e+15,1.9988578647581e+19,181263,10136496.619536,3.132105792856e+17
0.9,2.811559160214e+14,4.9697373209045e+18,1.1331686348822e+15,2.0001504845573e+19,181380,10143237.40983,3.1341886494013e+17
0.925,2.8134203938597e+14,4.9729905387077e+18,1.1339177947733e+15,2.0014573371983e+19,181467,10150051.150109,3.1362940469758e+17
0.95,2.8152993510673e+14,4.9762751985459e+18,1.13467409686e+15,2.0027768345358e+19,181523,10156929.51566,3.1384194133028e+17
0.975,2.8171937320919e+14,4.9795872965124e+18,1.1354366157471e+15,2.0041073686194e+19,181591,10163864.080935,3.1405621449471e+17
1,2.8191012152512e+14,4.9829227893827e+18,1.1362044171956e+15,2.0054473156806e+19,181628,10170846.340046,3.1427196136494e+17
1.025,2.8210194550836e+14,4.9862775920393e+18,1.1369765573789e+15,2.0067950350965e+19,181677,10177867.701757,3.144889164779e+17
1.05,2.8229460912565e+14,4.9896475922099e+18,1.1377520864678e+15,2.0081488753113e+19,181634,10184919.5198,3.1470681266994e+17
1.075,2.8248787516721e+14,4.9930286565526e+18,1.1385300498808e+15,2.0095071762791e+19,181657,10191993.105534,3.1492538146827e+17
1.1,2.826815045793e+14,4.9964166188871e+18,1.1393094855996e+15,2.0108682647363e+19,181732,10199079.70425,3.1514435235854e+17
1.125,2.8287525742432e+14,4.9998072965742e+18,1.140089428037e+15,2.0122304607827e+19,181754,10206170.528825,3.1536345382486e+17
1.15,2.8306889295169e+14,5.0031964920023e+18,1.1408689083143e+15,2.0135920784769e+19,181748,10213256.763015,3.1558241345155e+17
1.175,2.8326216971433e+14,5.0065799947134e+18,1.1416469547334e+15,2.0149514266913e+19,181836,10220329.566084,3.1580095806608e+17
1.2,2.8345484623692e+14,5.009953592699e+18,1.1424225954681e+15,2.0163068136507e+19,181828,10227380.096096,3.1601881445889e+17
1.225,2.8364668116046e+14,5.0133130753906e+18,1.1431948591424e+15,2.0176565481297e+19,181834,10234399.516288,3.1623570958026e+17
1.25,2.8383743332945e+14,5.0166542345756e+18,1.1439627751844e+15,2.0189989398235e+19,181885,10241378.997237,3.1645137060725e+17
1.275,2.8402686174224e+14,5.0199728641452e+18,1.1447253736266e+15,2.0203322992459e+19,181886,10248309.716616,3.1666552493623e+17
1.3,2.8421472653684e+14,5.0232647770102e+18,1.1454816890696e+15,2.0216549445237e+19,181973,10255182.893964,3.1687790125712e+17
1.325,2.8440078934264e+14,5.0265258111967e+18,1.1462307621036e+15,2.0229652038454e+19,182002,10261989.803382,3.170882299458e+17
1.35,2.8458481276199e+14,5.029751820924e+18,1.1469716372189e+15,2.0242614118785e+19,182012,10268721.755646,3.1729624251143e+17
1.375,2.8476656108317e+14,5.0329386889807e+18,1.1477033656743e+15,2.0255419147417e+19,182044,10275370.123699,3.1750167238404e+17
1.4,2.8494580052038e+14,5.0360823308085e+18,1.1484250064655e+15,2.0268050716423e+19,182115,10281926.351269,3.1770425518085e+17
1.425,2.8512229986699e+14,5.0391787061104e+18,1.1491356289512e+15,2.0280492595399e+19,182113,10288381.976794,3.179037294456e+17
1.45,2.8529583028566e+14,5.0422238149708e+18,1.1498343120112e+15,2.0292728715904e+19,182155,10294728.625792,3.1809983641271e+17
1.475,2.8546616576896e+14,5.0452137059079e+18,1.1505201459015e+15,2.0304743203797e+19,182176,10300958.027542,3.1829232052275e+17
1.5,2.8563308348994e+14,5.0481444823825e+18,1.1511922336629e+15,2.0316520405371e+19,182203,10307062.028626,3.1848092984086e+17
1.525,2.8579636401833e+14,5.051012306268e+18,1.1518496919922e+15,2.0328044901306e+19,182256,10313032.600255,3.1866541628314e+17
1.55,2.8595579136162e+14,5.0538133984993e+18,1.1524916514083e+15,2.0339301509286e+19,182260,10318861.839855,3.1884553566568e+17
1.575,2.8611115343755e+14,5.0565440473284e+18,1.1531172581535e+15,2.0350275317148e+19,182293,10324541.988152,3.1902104823232e+17
1.6,2.862622426311e+14,5.0592006182332e+18,1.1537256764342e+15,2.0360951722698e+19,182331,10330065.4496,3.1919171928611e+17
1.625,2.8640885555384e+14,5.0617795497756e+18,1.1543160874558e+15,2.0371316417073e+19,182346,10335424.784198,3.1935731893627e+17
1.65,2.8655079352367e+14,5.0642773617721e+18,1.1548876913512e+15,2.0381355417562e+19,182360,10340612.724364,3.1951762261963e+17
1.675,2.8668786269014e+14,5.0666906574855e+18,1.1554397076862e+15,2.0391055076423e+19,182374,10345622.179633,3.196724112459e+17
1.7,2.8681987458957e+14,5.0690161336434e+18,1.1559713776936e+15,2.0400402121116e+19,182403,10350446.257296,3.1982147183517e+17
1.725,2.8694664618657e+14,5.071250580775e+18,1.1564819644409e+15,2.0409383655677e+19,182435,10355078.263293,3.1996459754576e+17
1.75,2.870680001551e+14,5.0733908883973e+18,1.1569707539627e+15,2.0417987181546e+19,182446,10359511.712989,3.2010158800704e+17
1.775,2.8718376678227e+14,5.0754340780216e+18,1.1574370628701e+15,2.0426200729555e+19,182467,10363740.397874,3.2023225138039e+17
1.8,2.8729378139733e+14,5.0773772591132e+18,1.1578802281445e+15,2.0434012684583e+19,182481,10367758.298116,3.2035640165732e+17
1.825,2.8739787688411e+14,5.0792174966062e+18,1.1582995769839e+15,2.0441411253465e+19,182511,10371559.311796,3.2047385029281e+17
1.85,2.8749590653163e+14,5.0809522118372e+18,1.1586945185036e+15,2.0448386071957e+19,182523,10375138.069824,3.2058443138576e+17
1.875,2.8758772472785e+14,5.0825788444325e+18,1.1590644663216e+15,2.0454926850213e+19,182547,10378489.249822,3.2068798047849e+17
1.9,2.8767319277844e+14,5.0840949541904e+18,1.1594088618883e+15,2.0461023780927e+19,182566,10381607.782984,3.2078434094849e+17
1.925,2.8775217916239e+14,5.0854982254447e+18,1.1597271755153e+15,2.0466667556866e+19,182584,10384488.863115,3.2087336428766e+17
1.95,2.8782455960703e+14,5.0867864685551e+18,1.1600189066778e+15,2.0471849376859e+19,182596,10387127.949782,3.2095491019992e+17
1.975,2.878902171555e+14,5.0879576209412e+18,1.1602835842864e+15,2.0476560949958e+19,182639,10389520.770533,3.2102884666946e+17
2,2.8794904259294e+14,5.089009754677e+18,1.1605207684023e+15,2.048079452595e+19,182627,10391663.336452,3.2109505044163e+17
2.025,2.8800093441091e+14,5.089941075905e+18,1.1607300500957e+15,2.0484542893017e+19,182687,10393551.941061,3.2115340698884e+17
2.05,2.8804579896105e+14,5.090749927455e+18,1.1609110520643e+15,2.0487799388254e+19,182706,10395183.165706,3.2120381067712e+17
2.075,2.8808355798167e+14,5.0914349204722e+18,1.1610634587743e+15,2.0490558424602e+19,182707,10396554.145803,3.2124617299289e+17
2.1,2.8811411811099e+14,5.0919944018142e+18,1.1611868943994e+15,2.0492813359078e+19,182702,10397661.493844,3.2128038926446e+17
2.125,2.881374223315e+14,5.0924273522963e+18,1.1612811287512e+15,2.0494560087639e+19,182777,10398503.115538,3.2130639477982e+17
2.15,2.8815340335738e+14,5.092732573598e+18,1.161345890776e+15,2.0495793792024e+19,182744,10399076.567178,3.2132411403006e+17
2.175,2.8816200716169e+14,5.0929090983596e+18,1.1613809626345e+15,2.049651057995e+19,182776,10399379.883181,3.2133348628012e+17
2.2,2.8816319845465e+14,5.0929562856021e+18,1.161386201621e+15,2.0496707866889e+19,182791,10399411.768555,3.2133447151563e+17
2.225,2.8815693243456e+14,5.092873328579e+18,1.1613614272397e+15,2.0496382408116e+19,182777,10399170.60677,3.2132701978697e+17
2.25,2.8814318450815e+14,5.0926597727213e+18,1.1613065399947e+15,2.0495532369662e+19,182775,10398655.503745,3.2131110346768e+17
2.275,2.8812193554109e+14,5.0923152588619e+18,1.1612214624382e+15,2.0494156301664e+19,182772,10397865.770209,3.2128670125974e+17
2.3,2.8809317507705e+14,5.0918395789382e+18,1.1611061520485e+15,2.0492253361178e+19,182801,10396801.034007,3.2125380166382e+17
2.325,2.8805690111913e+14,5.0912326724052e+18,1.1609606003524e+15,2.0489823297787e+19,182810,10395461.232708,3.2121240275091e+17
2.35,2.8801312021962e+14,5.0904946279073e+18,1.1607848332819e+15,2.0486866460305e+19,182826,10393846.616928,3.2116251226481e+17
2.375,2.8796184734027e+14,5.0896256808552e+18,1.1605789106141e+15,2.0483383787057e+19,182843,10391957.745279,3.2110414746624e+17
2.4,2.8790310569921e+14,5.0886262108121e+18,1.1603429253546e+15,2.0479376795402e+19,182862,10389795.478922,3.2103733496446e+17
2.425,2.8783692686886e+14,5.0874967432332e+18,1.1600770041366e+15,2.0474847588713e+19,182871,10387360.984985,3.2096211082293e+17
2.45,2.8776335062593e+14,5.0862379468002e+18,1.1597813066121e+15,2.0469798845702e+19,182880,10384655.730981,3.2087852038677e+17
2.475,2.8768242538393e+14,5.0848506410816e+18,1.1594560271956e+15,2.046423385117e+19,182882,10381681.500278,3.2078661876074e+17
2.5,2.8759420757712e+14,5.0833357857062e+18,1.1591013925891e+15,2.0458156452559e+19,182912,10378440.369856,3.206864701221e+17
2.525,2.8749876169832e+14,5.0816944810019e+18,1.1587176619306e+15,2.0451571062487e+19,182949,10374934.711436,3.2057814775536e+17
2.55,2.8739616026639e+14,5.0799279675447e+18,1.1583051266587e+15,2.0444482656962e+19,182959,10371167.190377,3.2046173401819e+17
2.575,2.8728648344648e+14,5.078037619938e+18,1.1578641089916e+15,2.0436896750421e+19,182960,10367140.752796,3.2033731994353e+17
2.6,2.8716981923728e+14,5.0760249495037e+18,1.1573949626834e+15,2.0428819406545e+19,182971,10362858.630852,3.2020500540281e+17
2.625,2.8704626332506e+14,5.0738916020189e+18,1.1568980724316e+15,2.0420257229167e+19,182977,10358324.337912,3.2006489895658e+17
2.65,2.8691591872094e+14,5.0716393514535e+18,1.1563738524238e+15,2.0411217337117e+19,182978,10353541.655574,3.199171174536e+17
2.675,2.8677889575967e+14,5.0692701001307e+18,1.1558227463229e+15,2.0401707364896e+19,183019,10348514.633758,3.1976178603346e+17
2.7,2.8663531161556e+14,5.0667858702149e+18,1.1552452253259e+15,2.0391735428463e+19,183020,10343247.573123,3.1959903758352e+17
2.725,2.8648529063283e+14,5.0641888091998e+18,1.1546417894988e+15,2.0381310147321e+19,183036,10337745.036007,3.1942901307681e+17
2.75,2.8632896418075e+14,5.0614811874494e+18,1.1540129671907e+15,2.0370440634636e+19,183040,10332011.841159,3.1925186140923e+17
2.775,2.8616647001868e+14,5.0586653875714e+18,1.153359312469e+15,2.0359136454545e+19,183057,10326053.041824,3.1906773872251e+17
2.8,2.8599795242171e+14,5.0557439066285e+18,1.1526814056325e+15,2.0347407631026e+19,183063,10319873.929988,3.1887680853524e+17
2.825,2.8582356147996e+14,5.0527193436105e+18,1.1519798504009e+15,2.0335264597629e+19,183082,10313480.010587,3.186792409461e+17
2.85,2.8564345336454e+14,5.0495944036548e+18,1.1512552749769e+15,2.0322718214448e+19,183086,10306877.009825,3.1847521289071e+17
2.875,2.854577907838e+14,5.0463719066343e+18,1.1505083338811e+15,2.0309779802569e+19,183167,10300070.892393,3.1826490867384e+17
2.9,2.8526674130702e+14,5.0430547585916e+18,1.149739701199e+15,2.0296461029331e+19,183181,10293067.802989,3.1804851816227e+17
2.925,2.8507047770458e+14,5.0396459562077e+18,1.1489500719729e+15,2.0282773926384e+19,183196,10285874.075131,3.1782623705724e+17
2.95,2.8486917894002e+14,5.0361486050255e+18,1.1481401661733e+15,2.0268730962763e+19,183187,10278496.268015,3.1759826803328e+17
