time,group1max,group1norm,group2max,group2norm,memory,powernorm,tot_fissions
0,0,0,0,0,157124,0,0
0.05,2.7726109624909e+14,4.9017885263298e+18,1.1174938502366e+15,1.9728583350468e+19,175897,10000596.374296,3.0901135778588e+17
0.1,2.7728770095783e+14,4.9022488043863e+18,1.1176009002824e+15,1.9730431710552e+19,177829,10001567.842215,3.0904137545776e+17
0.15,2.7732631569156e+14,4.9029185155474e+18,1.1177562784349e+15,1.9733121165581e+19,178105,10002979.768092,3.0908500296917e+17
0.2,2.7737782944347e+14,4.9038132358839e+18,1.117963563875e+15,1.9736714301611e+19,178347,10004864.659341,3.0914324477619e+17
0.25,2.774424439567e+14,4.9049365695647e+18,1.1182235704689e+15,1.9741225627635e+19,178503,10007229.800545,3.092163259673e+17
0.3,2.7752010988454e+14,4.9062877440998e+18,1.1185361016942e+15,1.9746652075711e+19,178712,10010073.274967,3.0930418731667e+17
0.35,2.7761068170246e+14,4.907864308754e+18,1.1189005739218e+15,1.9752983836535e+19,178862,10013389.646789,3.0940666086138e+17
0.4,2.7771396792557e+14,4.9096630091381e+18,1.1193162184652e+15,1.976020787145e+19,178955,10017171.805318,3.0952352688603e+17
0.45,2.7782974988969e+14,4.9116801143085e+18,1.1197821571503e+15,1.9768309226035e+19,179135,10021411.652631,3.0965453517055e+17
0.5,2.7795778770327e+14,4.9139115204507e+18,1.1202974262689e+15,1.9777271446513e+19,179136,10026100.322185,3.0979941174497e+17
0.55,2.7809782334973e+14,4.9163528049498e+18,1.1208609890686e+15,1.9787076797024e+19,179325,10031228.291786,3.099578623803e+17
0.6,2.7824958278251e+14,4.9189992628778e+18,1.1214717441791e+15,1.9797706406129e+19,179402,10036785.458865,3.1012957491426e+17
0.65,2.7841277596598e+14,4.9218459076366e+18,1.1221285257955e+15,1.9809140269579e+19,179515,10042761.142605,3.1031421931717e+17
0.7,2.7858709732134e+14,4.9248874788745e+18,1.1228301054693e+15,1.9821357282128e+19,179652,10049144.100392,3.1051144820016e+17
0.75,2.7877222907299e+14,4.9281185003011e+18,1.123575205577e+15,1.9834335469794e+19,179636,10055922.645956,3.1072090046585e+17
0.8,2.7896783905527e+14,4.931533242248e+18,1.1243624904975e+15,1.9848051839517e+19,179707,10063084.573457,3.1094219896232e+17
0.85,2.7917358225933e+14,4.935125748239e+18,1.1251905728406e+15,1.9862482485956e+19,179838,10070617.211937,3.1117495216596e+17
