time,group1max,group1norm,group2max,group2norm,memory,powernorm,tot_fissions
0,0,0,0,0,156974,0,0
0.2,2.7731104381925e+14,4.9026508059042e+18,1.1176948545267e+15,1.9732046460078e+19,176228,10002415.357852,3.0906756309178e+17
0.4,2.7741208760242e+14,4.9044020398245e+18,1.1181014888478e+15,1.9739079951564e+19,178164,10006103.859648,3.0918153518959e+17
0.6,2.7755648359551e+14,4.9069119381666e+18,1.1186826191206e+15,1.9749161080632e+19,178449,10011381.325727,3.093446051604e+17
0.8,2.7774591219461e+14,4.9102108030121e+18,1.1194450262862e+15,1.9762411889131e+19,178681,10018308.427747,3.0955864771554e+17
1,2.7797921160954e+14,4.9142792851419e+18,1.120384051255e+15,1.9778754967394e+19,178788,10026841.756895,3.0982232155335e+17
1.2,2.7825420051411e+14,4.9190801666207e+18,1.1214909293915e+15,1.9798041091853e+19,179022,10036900.721808,3.1013313645772e+17
1.4,2.7856832580872e+14,4.9245696508694e+18,1.1227553975385e+15,1.9820094569962e+19,179070,10048391.285116,3.1048818674037e+17
1.6,2.789189024306e+14,4.9307015415933e+18,1.1241666595071e+15,1.9844730028656e+19,179263,10061214.723181,3.1088442191072e+17
1.8,2.7930320338702e+14,4.9374288115892e+18,1.1257137487619e+15,1.9871758720541e+19,179361,10075270.899368,3.1131874781751e+17
2,2.7971849743967e+14,4.9447042620923e+18,1.1273856803119e+15,1.9900991177041e+19,179546,10090459.626627,3.1178806875175e+17
2.2,2.8016206945198e+14,4.9524808856972e+18,1.1291715327069e+15,1.993223866969e+19,179555,10106681.406572,3.1228931028364e+17
2.4,2.8063122697945e+14,4.9607119898087e+18,1.1310604746618e+15,1.996531371042e+19,179715,10123837.676727,3.1281942690239e+17
2.6,2.8112331693858e+14,4.9693514933904e+18,1.1330418320809e+15,2.0000031246144e+19,179676,10141831.407763,3.1337542047026e+17
2.8,2.8163574412504e+14,4.9783542576589e+18,1.1351051621251e+15,2.0036209985108e+19,179810,10160567.764557,3.1395436064905e+17
3,2.821659660093e+14,4.9876760020093e+18,1.1372402329812e+15,2.0073672070233e+19,179867,10179953.93967,3.1455337975447e+17
3.2,2.8271151621456e+14,4.9972737086174e+18,1.1394371174967e+15,2.0112244697866e+19,179942,10199899.958163,3.1516969762456e+17
3.4,2.8327002213462e+14,5.0071059276793e+18,1.1416862640832e+15,2.0151761345745e+19,180076,10220319.291335,3.1580064058361e+17
3.6,2.8383918964322e+14,5.0171325110006e+18,1.1439784359759e+15,2.0192060713622e+19,180028,10241128.315886,3.1644362473073e+17
3.8,2.8441685128464e+14,5.0273154435759e+18,1.146304903876e+15,2.0232990049216e+19,180035,10262247.973917,3.1709620723281e+17
4,2.8500092581188e+14,5.0376181361976e+18,1.148657284916e+15,2.02744023273e+19,180165,10283602.342977,3.1775604213976e+17
4.2,2.8558946283553e+14,5.0480061967973e+18,1.1510277206536e+15,2.031615932822e+19,180238,10305120.162375,3.1842092754657e+17
4.4,2.8618060951422e+14,5.0584468569393e+18,1.153408745071e+15,2.0358129355626e+19,180272,10326733.675133,3.1908876981056e+17
4.6,2.8677263080291e+14,5.0689093258654e+18,1.1557933650701e+15,2.0400188645778e+19,180300,10348379.310923,3.1975760465354e+17
4.8,2.8736390851697e+14,5.0793647873073e+18,1.1581750573926e+15,2.0442221359888e+19,180251,10369997.667227,3.2042559657965e+17
5,2.8795292872871e+14,5.0897861907968e+18,1.1605477183803e+15,2.048411874935e+19,180315,10391533.069554,3.2109102528655e+17
5.2,2.8853828307499e+14,5.1001482908898e+18,1.1629056693465e+15,2.0525779312384e+19,180382,10412933.632112,3.2175228753991e+17
5.4,2.8911866740806e+14,5.1104276427488e+18,1.1652436513867e+15,2.0567108777239e+19,180449,10434151.23397,3.2240789643699e+17
5.6,2.8969287174002e+14,5.1206024452974e+18,1.1675567852518e+15,2.0608019473778e+19,180445,10455141.187213,3.2305647115282e+17
5.8,2.9025977865645e+14,5.1306525279464e+18,1.169840564988e+15,2.0648430280669e+19,180543,10475862.197068,3.2369673570809e+17
6,2.9081836030562e+14,5.1405593148679e+18,1.1720908458884e+15,2.0688266480852e+19,180464,10496276.275887,3.2432751631132e+17
