id,vel_x,vel_y,x,y,z
0,0,0,0,100,0
1,-0.0049307110794843,0.42346071833641,1,100,0
2,-0.017144943541053,0.83601932623037,2,100,0
3,-0.037300307220213,1.2375718781282,3,100,0
4,-0.065024130189338,1.628030908132,4,100,0
5,-0.10004789309852,2.0073265230839,5,100,0
6,-0.14209311525024,2.3754056314075,6,100,0
7,-0.19088335483538,2.7322313471942,7,100,0
8,-0.24614346234344,3.0777823638849,8,100,0
9,-0.30760011057895,3.4120523194069,9,100,0
10,-0.37498218273833,3.73504915186,10,100,0
11,-0.44802115975519,4.0467944473704,11,100,0
12,-0.52645149080673,4.3473227816437,12,100,0
13,-0.61001094695708,4.6366810569068,13,100,0
14,-0.69844095649489,4.9149278359975,14,100,0
15,-0.79148692086931,5.1821326754422,15,100,0
16,-0.88889851029837,5.4383754593763,16,100,0
17,-0.99042993830717,5.6837457361771,17,100,0
18,-1.0958402146292,5.9183420596701,18,100,0
19,-1.204893376075,6.142271336717,19,100,0
20,-1.3173586951347,6.355648182962,20,100,0
21,-1.4330108662346,6.5585942884281,21,100,0
22,-1.5516301697113,6.7512377945815,22,100,0
23,-1.6730026137017,6.9337126843871,23,100,0
24,-1.7969200542681,7.1061581867827,24,100,0
25,-1.9231802941921,7.2687181968739,25,100,0
26,-2.051587160967,7.4215407130583,26,100,0
27,-2.1819505646134,7.5647772921618,27,100,0
28,-2.3140865360144,7.6985825235356,28,100,0
29,-2.4478172465391,7.823113522972,29,100,0
30,-2.5829710097761,7.9385294471418,30,100,0
31,-2.719382266246,8.0449910291688,31,100,0
32,-2.8568915519991,8.1426601358144,32,100,0
33,-2.9953454520302,8.231699346656,33,100,0
34,-3.1345965394614,8.3122715555076,34,100,0
35,-3.2745033014551,8.3845395942591,35,100,0
36,-3.41493005282,8.448665879175,36,100,0
37,-3.5557468382722,8.50481207964,37,100,0
38,-3.6968293243,8.5531388092111,38,100,0
39,-3.838058681567,8.5938053387954,39,100,0
40,-3.9793214587678,8.6269693316594,40,100,0
41,-4.1205094488235,8.6527865999443,41,100,0
42,-4.2615195482778,8.6714108822683,42,100,0
43,-4.402253610721,8.682993641966,43,100,0
44,-4.5426182950342,8.6876838854533,44,100,0
45,-4.682524909211,8.6856280001667,45,100,0
46,-4.8218892504737,8.6769696115,46,100,0
47,-4.9606314423621,8.6618494581015,47,100,0
48,-5.0986757694335,8.6404052849105,48,100,0
49,-5.2359505101699,8.6127717532619,49,100,0
50,-5.3723877686493,8.5790803673833,50,100,0
51,-5.5079233054959,8.539459416609,51,100,0
52,-5.6424963685857,8.4940339326011,52,100,0
53,-5.7760495239436,8.4429256609052,53,100,0
54,-5.9085284872292,8.3862530461406,54,100,0
55,-6.0398819561749,8.324131230155,55,100,0
56,-6.170061444299,8.2566720624482,56,100,0
57,-6.2990211161884,8.1839841222277,57,100,0
58,-6.4267176246072,8.106172751435,58,100,0
59,-6.5531099496626,8.0233400981259,59,100,0
60,-6.6781592402251,7.9355851695804,60,100,0
61,-6.8018286577768,7.8430038945697,61,100,0
62,-6.9240832228351,7.7456891942044,62,100,0
63,-7.0448896640745,7.6437310608243,63,100,0
64,-7.1642162702509,7.5372166444233,64,100,0
65,-7.2820327450093,7.4262303460956,65,100,0
66,-7.3983100646418,7.3108539180612,66,100,0
67,-7.5130203388443,7.1911665698189,67,100,0
68,-7.6261366745081,7.0672450800292,68,100,0
69,-7.7376330425695,6.9391639137207,69,100,0
70,-7.8474841479307,6.8069953444857,70,100,0
71,-7.9556653024546,6.6708095813201,71,100,0
72,-8.0621523010331,6.5306748998182,72,100,0
73,-8.1669213007185,6.3866577774213,73,100,0
74,-8.2699487029065,6.2388230324898,74,100,0
75,-8.3712110385564,6.0872339669585,75,100,0
76,-8.4706848564317,5.9319525123719,76,100,0
77,-8.5683466143481,5.7730393791278,77,100,0
78,-8.6641725734132,5.6105542087462,78,100,0
79,-8.7581386952506,5.4445557290483,79,100,0
80,-8.8502205421998,5.2751019121115,80,100,0
81,-8.9403931804954,5.1022501349114,81,100,0
82,-9.0286310864308,4.9260573425455,82,100,0
83,-9.114908055522,4.7465802139911,83,100,0
84,-9.1991971146977,4.5638753303321,84,100,0
85,-9.281470437549,4.3779993454137,85,100,0
86,-9.3616992626877,4.1890091588946,86,100,0
87,-9.4398538152704,3.9969620916751,87,100,0
88,-9.515903231764,3.8019160636803,88,100,0
89,-9.5898154880384,3.6039297740149,89,100,0
90,-9.6615573308915,3.403062883436,90,100,0
91,-9.7310942131266,3.19937619919,91,100,0
92,-9.7983902323189,2.9929318621827,92,100,0
93,-9.8634080734298,2.7837935364849,93,100,0
94,-9.926108955443,2.5720266011591,94,100,0
95,-9.9864525822194,2.3576983443914,95,100,0
96,-10.044397097788,2.140878159903,96,100,0
97,-10.099899046312,1.9216377455756,97,100,0
98,-10.152913336989,1.7000513042961,98,100,0
99,-10.203393214173,1.4761957468805,99,100,0
100,-10.251290233024,1.2501508970055,100,100,0
101,-10.296554241015,1.021999698047,101,100,0
102,-10.339133365659,0.79182842166166,102,100,0
103,-10.378974008822,0.5597268779407,103,100,0
104,-10.416020848045,0.32578862692602,104,100,0
105,-10.450216845283,0.090111191242265,105,100,0
106,-10.481503263533,-0.14720373044372,106,100,0
107,-10.509819691808,-0.38605004947155,107,100,0
108,-10.535104078968,-0.62631707310348,108,100,0
109,-10.557292776919,-0.86788929078396,109,100,0
110,-10.576320593723,-1.110646161187,110,100,0
111,-10.592120857171,-1.3544619006169,111,100,0
112,-10.604625489402,-1.5992052733787,112,100,0
113,-10.613765093144,-1.8447393847839,113,100,0
114,-10.61946905018,-2.0909214775514,114,100,0
115,-10.621665632649,-2.3376027324064,115,100,0
116,-10.620282127791,-2.5846280738075,116,100,0
117,-10.615244976737,-2.8318359817499,117,100,0
118,-10.606479927969,-3.0790583107245,118,100,0
119,-10.593912206029,-3.3261201169688,119,100,0
120,-10.577466696069,-3.5728394952529,120,100,0
121,-10.557068144795,-3.819027426511,121,100,0
122,-10.532641378343,-4.0644876377321,122,100,0
123,-10.504111537575,-4.3090164756035,123,100,0
124,-10.471404331252,-4.5524027954927,124,100,0
125,-10.434446307476,-4.7944278674372,125,100,0
126,-10.393165143741,-5.0348653008722,126,100,0
127,-10.347489955867,-5.2734809899668,127,100,0
128,-10.297351625979,-5.5100330814252,128,100,0
129,-10.242683149647,-5.7442719667347,129,100,0
130,-10.183420002159,-5.9759403009034,130,100,0
131,-10.119500523807,-6.2047730497133,131,100,0
132,-10.050866323934,-6.4304975676411,132,100,0
133,-9.9774627033597,-6.6528337085595,133,100,0
134,-9.8992390946323,-6.8714939713516,134,100,0
135,-9.8161495194256,-7.0861836825705,135,100,0
136,-9.7281530622045,-7.2966012182942,136,100,0
137,-9.6352143591132,-7.5024382671693,137,100,0
138,-9.5373041008449,-7.7033801366689,138,100,0
139,-9.4343995480555,-7.8991061044968,139,100,0
140,-9.3264850576735,-8.089289816834,140,100,0
141,-9.2135526182486,-8.2735997351547,141,100,0
142,-9.0956023922604,-8.4516996330352,142,100,0
143,-8.9726432630902,-8.6232491442149,143,100,0
144,-8.8446933841383,-8.7879043629403,144,100,0
145,-8.7117807273475,-8.9453184973987,145,100,0
146,-8.5739436281823,-9.095142576647,146,100,0
147,-8.4312313239024,-9.2370262112078,147,100,0
148,-8.2837044817741,-9.3706184071502,148,100,0
149,-8.1314357136794,-9.4955684329637,149,100,0
150,-7.9745100734133,-9.6115267382891,150,100,0
151,-7.8130255328178,-9.7181459229997,151,100,0
152,-7.6470934327739,-9.815081754693,152,100,0
153,-7.4768389049815,-9.9019942321663,153,100,0
154,-7.302401260391,-9.978548691989,154,100,0
155,-7.1239343401234,-10.044416954651,155,100,0
156,-6.9416068247212,-10.099278506334,156,100,0
157,-6.7556024976251,-10.142821711839,157,100,0
158,-6.5661204588621,-10.174745053518,158,100,0
159,-6.3733752850719,-10.194758390765,159,100,0
160,-6.1775971321834,-10.202584233945,160,100,0
161,-5.9790317772904,-10.197959026224,161,100,0
162,-5.7779405965642,-10.180634426313,162,100,0
163,-5.5746004763715,-10.150378584781,163,100,0
164,-5.3693036551585,-10.106977406093,164,100,0
165,-5.1623574940923,-10.050235788411,165,100,0
166,-4.95408417493,-9.9799788327397,166,100,0
167,-4.7448203241113,-9.8960530130251,167,100,0
168,-4.534916562629,-9.7983272986179,168,100,0
169,-4.3247369818286,-9.6866942204068,169,100,0
170,-4.1146585459114,-9.5610708722168,170,100,0
171,-3.9050704225619,-9.4213998389482,171,100,0
172,-3.6963732437825,-9.2676500434629,172,100,0
173,-3.4889782996854,-9.0998175042835,173,100,0
174,-3.2833066686623,-8.9179259968961,174,100,0
175,-3.0797882880105,-8.7220276117005,175,100,0
176,-2.8788609697365,-8.5122032025019,176,100,0
177,-2.6809693668723,-8.2885627200598,177,100,0
178,-2.4865638962199,-8.0512454259197,178,100,0
179,-2.2960996239738,-7.8004199828443,179,100,0
180,-2.1100351211545,-7.5362844188326,180,100,0
181,-1.9288312962072,-7.2590659629955,181,100,0
182,-1.7529502124756,-6.9690207523291,182,100,0
183,-1.5828538985387,-6.6664334097977,183,100,0
184,-1.419003159603,-6.3516164949826,184,100,0
185,-1.2618563982553,-6.0249098299048,185,100,0
186,-1.1118684529138,-5.6866797036763,186,100,0
187,-0.96948946225392,-5.3373179606677,187,100,0
188,-0.83516376373658,-4.9772409781982,188,100,0
189,-0.70932883412404,-4.6068885405448,189,100,0
190,-0.59241427954358,-4.2267226173622,190,100,0
191,-0.4848408822445,-3.8372260552746,191,100,0
192,-0.3870197106761,-3.4389011925626,192,100,0
193,-0.29935129919188,-3.0322684074479,193,100,0
194,-0.2222249005677,-2.6178646112867,194,100,0
195,-0.15601783829372,-2.1962416987586,195,100,0
196,-0.10109474272768,-1.7679649663727,196,100,0
197,-0.057808849948877,-1.3336115230464,197,100,0
198,-0.02648383314076,-0.89376859874237,198,100,0
199,-0.0075893076094638,-0.44903282528333,199,100,0
200,0,0,200,100,0
