id,vel_x,vel_y,x,y,z
0,0,0,100,0,0
1,-0.17528936811464,3.0456351799132e-05,100,1,0
2,-0.34651621731802,0.00010039716861269,100,2,0
3,-0.51386622711942,0.00020744141042222,100,3,0
4,-0.67752051731568,0.00034351168828028,100,4,0
5,-0.83765316406342,0.00050209234212073,100,5,0
6,-0.9944317189878,0.00067746309932845,100,6,0
7,-1.1480174141773,0.00086474687456706,100,7,0
8,-1.2985653884721,0.0010598770116166,100,8,0
9,-1.4462249013633,0.0012595743984009,100,9,0
10,-1.5911395381175,0.0014613252523335,100,10,0
11,-1.7334474059648,0.0016633604405233,100,11,0
12,-1.8732813215711,0.0018646361812141,100,12,0
13,-2.0107689899701,0.0020648160735014,100,13,0
14,-2.1460331751398,0.002264254392439,100,14,0
15,-2.2791918623932,0.0024639805854142,100,15,0
16,-2.4103584127648,0.0026656849055337,100,16,0
17,-2.5396417095653,0.0028717051170389,100,17,0
18,-2.6671462972739,0.0030850142072809,100,18,0
19,-2.7929725129419,0.0033092090385863,100,19,0
20,-2.9172166102738,0.0035484998739092,100,20,0
21,-3.0399708765539,0.0038077007093354,100,21,0
22,-3.1613237425849,0.0040922203451136,100,22,0
23,-3.2813598858046,0.0044080541281868,100,23,0
24,-3.4001603267368,0.0047617762976904,100,24,0
25,-3.5178025189501,0.0051605328643268,100,25,0
26,-3.6343604326776,0.0056120349552005,100,26,0
27,-3.7499046322547,0.0061245525537706,100,27,0
28,-3.8645023475472,0.0067069085656322,100,28,0
29,-3.9782175395112,0.0073684731394739,100,29,0
30,-4.0911109600573,0.0081191581719972,100,30,0
31,-4.2032402063635,0.0089694119260135,100,31,0
32,-4.3146597698031,0.0099302136892749,100,32,0
33,-4.4254210796338,0.011013068402206,100,33,0
34,-4.5355725416136,0.012230001181041,100,34,0
35,-4.6451595716907,0.013593551663343,100,35,0
36,-4.7542246249216,0.015116768101807,100,36,0
37,-4.8628072197837,0.016813201131493,100,37,0
38,-4.9709439580215,0.018696897136074,100,38,0
39,-5.0786685401998,0.020782391136588,100,39,0
40,-5.1860117771016,0.023084699127234,100,40,0
41,-5.2930015971476,0.025619309781439,100,41,0
42,-5.3996630499765,0.028402175450482,100,42,0
43,-5.506018306361,0.031449702378206,100,43,0
44,-5.6120866546109,0.034778740052573,100,44,0
45,-5.7178844936304,0.038406569617006,100,45,0
46,-5.8234253227829,0.042350891262109,100,46,0
47,-5.9287197287516,0.04662981051954,100,47,0
48,-6.033775369541,0.051261823378957,100,48,0
49,-6.1385969558021,0.056265800149649,100,49,0
50,-6.2431862296535,0.061660967987712,100,50,0
51,-6.3475419411644,0.067466892011007,100,51,0
52,-6.4516598226989,0.073703454923718,100,52,0
53,-6.5555325612841,0.080390835073232,100,53,0
54,-6.6591497691974,0.087549482863058,100,54,0
55,-6.7624979529516,0.095200095446335,100,55,0
56,-6.8655604808904,0.10336358962537,100,56,0
57,-6.9683175495667,0.11206107288538,100,57,0
58,-7.0707461491197,0.12131381249013,100,58,0
59,-7.1728200278419,0.13114320257233,100,59,0
60,-7.2745096561569,0.14157072915032,100,60,0
61,-7.3757821902034,0.15261793300885,100,61,0
62,-7.4766014352514,0.16430637038237,100,62,0
63,-7.5769278091631,0.1766575713833,100,63,0
64,-7.676718306111,0.1896929961224,100,64,0
65,-7.7759264607985,0.20343398847143,100,65,0
66,-7.8745023133871,0.21790172742358,100,66,0
67,-7.9723923753696,0.2331171760128,100,67,0
68,-8.0695395966207,0.24910102775728,100,68,0
69,-8.1658833338446,0.26587365060062,100,69,0
70,-8.2613593206764,0.28345502832909,100,70,0
71,-8.3558996396457,0.30186469945143,100,71,0
72,-8.449432696251,0.32112169353592,100,72,0
73,-8.5418831953608,0.34124446500682,100,73,0
74,-8.6331721201931,0.36225082441206,100,74,0
75,-8.7232167140783,0.38415786718336,100,75,0
76,-8.8119304652359,0.4069818999208,100,76,0
77,-8.8992230947851,0.43073836424362,100,77,0
78,-8.985000548183,0.45544175826147,100,78,0
79,-9.0691649903191,0.48110555573264,100,79,0
80,-9.1516148044334,0.50774212298784,100,80,0
81,-9.232244595055,0.53536263371211,100,81,0
82,-9.3109451951156,0.5639769816915,100,82,0
83,-9.3876036774162,0.59359369164547,100,83,0
84,-9.4621033705631,0.62421982828225,100,84,0
85,-9.5343238795057,0.65586090372894,100,85,0
86,-9.6041411107758,0.68852078350567,100,86,0
87,-9.6714273025074,0.72220159123004,100,87,0
88,-9.7360510592979,0.75690361225469,100,88,0
89,-9.7978773919189,0.79262519646005,100,89,0
90,-9.8567677619205,0.82936266044201,100,90,0
91,-9.9125801310599,0.86711018935252,100,91,0
92,-9.9651690155119,0.90585973867197,100,92,0
93,-10.014385544763,0.9456009362088,100,93,0
94,-10.060077525058,0.9863209846444,100,94,0
95,-10.102089507219,1.028004564958,100,95,0
96,-10.140262858639,1.0706337410886,100,96,0
97,-10.174435839173,1.1141878662087,100,97,0
98,-10.204443680654,1.1586434910044,100,98,0
99,-10.230118669634,1.2039742743783,100,99,0
100,-10.251290233024,1.2501508970055,100,100,0
