id,temp,x,y,z
0,927.90878412384,100,0,0
1,937.07999441643,100,1,0
2,945.71331795444,100,2,0
3,953.61231797898,100,3,0
4,960.99804003013,100,4,0
5,967.95540074345,100,5,0
6,974.55482902022,100,6,0
7,980.84983668707,100,7,0
8,986.88225664269,100,8,0
9,992.68554572391,100,9,0
10,998.28695763504,100,10,0
11,1003.7090238564,100,11,0
12,1008.970597177,100,12,0
13,1014.0876360607,100,13,0
14,1019.0737772502,100,14,0
15,1023.9407625694,100,15,0
16,1028.6987691933,100,16,0
17,1033.3566692896,100,17,0
18,1037.9222367997,100,18,0
19,1042.4023140838,100,19,0
20,1046.8029476887,100,20,0
21,1051.1295000971,100,21,0
22,1055.3867401686,100,22,0
23,1059.5789177096,100,23,0
24,1063.7098337811,100,24,0
25,1067.7828970507,100,25,0
26,1071.8011704651,100,26,0
27,1075.7674113141,100,27,0
28,1079.6841057816,100,28,0
29,1083.5534988744,100,29,0
30,1087.3776204557,100,30,0
31,1091.1583079829,100,31,0
32,1094.8972264458,100,32,0
33,1098.5958859467,100,33,0
34,1102.2556567689,100,34,0
35,1105.8777816309,100,35,0
36,1109.4633886906,100,36,0
37,1113.0135035084,100,37,0
38,1116.5290587546,100,38,0
39,1120.0109027805,100,39,0
40,1123.4598072995,100,40,0
41,1126.8764742853,100,41,0
42,1130.2615421785,100,42,0
43,1133.6155914792,100,43,0
44,1136.9391497958,100,44,0
45,1140.2326964094,100,45,0
46,1143.4966664065,100,46,0
47,1146.7314544328,100,47,0
48,1149.9374181392,100,48,0
49,1153.1148807827,100,49,0
50,1156.2641336398,100,50,0
51,1159.3854391238,100,51,0
52,1162.479033476,100,52,0
53,1165.5451288693,100,53,0
54,1168.5839153226,100,54,0
55,1171.5955624436,100,55,0
56,1174.5802210178,100,56,0
57,1177.5380244557,100,57,0
58,1180.4690901131,100,58,0
59,1183.3735204953,100,59,0
60,1186.2514043552,100,60,0
61,1189.1028176953,100,61,0
62,1191.9278246818,100,62,0
63,1194.7264784787,100,63,0
64,1197.4988220117,100,64,0
65,1200.2448886861,100,65,0
66,1202.964702768,100,66,0
67,1205.6582798367,100,67,0
68,1208.3256275436,100,68,0
69,1210.9667462073,100,69,0
70,1213.5816292367,100,70,0
71,1216.1702635061,100,71,0
72,1218.7326296894,100,72,0
73,1221.2687025554,100,73,0
74,1223.7784512279,100,74,0
75,1226.261839413,100,75,0
76,1228.7188255948,100,76,0
77,1231.1493632026,100,77,0
78,1233.5534007506,100,78,0
79,1235.9308819512,100,79,0
80,1238.2817458048,100,80,0
81,1240.6059266641,100,81,0
82,1242.9033542781,100,82,0
83,1245.1739538133,100,83,0
84,1247.4176458559,100,84,0
85,1249.6343464049,100,85,0
86,1251.8239666718,100,86,0
87,1253.9864130339,100,87,0
88,1256.1215872238,100,88,0
89,1258.2293861149,100,89,0
90,1260.3097016113,100,90,0
91,1262.3624205136,100,91,0
92,1264.3874243638,100,92,0
93,1266.3845892708,100,93,0
94,1268.3537857165,100,94,0
95,1270.2948783423,100,95,0
96,1272.2077257158,100,96,0
97,1274.0921800774,100,97,0
98,1275.9480870659,100,98,0
99,1277.7752854234,100,99,0
100,1279.5736066774,100,100,0
101,1281.3428748003,100,101,0
102,1283.082905845,100,102,0
103,1284.7935075554,100,103,0
104,1286.474478951,100,104,0
105,1288.1256098833,100,105,0
106,1289.7466805637,100,106,0
107,1291.33746106,100,107,0
108,1292.897710761,100,108,0
109,1294.4271778057,100,109,0
110,1295.9255984757,100,110,0
111,1297.3926965481,100,111,0
112,1298.8281826057,100,112,0
113,1300.231753299,100,113,0
114,1301.6030905002,100,114,0
115,1302.941860673,100,115,0
116,1304.2477139157,100,116,0
117,1305.5202829697,100,117,0
118,1306.7591822021,100,118,0
119,1307.9640065208,100,119,0
120,1309.1343302138,100,120,0
121,1310.2697057078,100,121,0
122,1311.3696622374,100,122,0
123,1312.4337044197,100,123,0
124,1313.4613107239,100,124,0
125,1314.4519318274,100,125,0
126,1315.4049888495,100,126,0
127,1316.3198714496,100,127,0
128,1317.1959357795,100,128,0
129,1318.0325022749,100,129,0
130,1318.8288532721,100,130,0
131,1319.5842304327,100,131,0
132,1320.2978319582,100,132,0
133,1320.968809574,100,133,0
134,1321.5962652599,100,134,0
135,1322.1792477025,100,135,0
136,1322.7167484401,100,136,0
137,1323.2076976699,100,137,0
138,1323.650959682,100,138,0
139,1324.0453278796,100,139,0
140,1324.3895193435,100,140,0
141,1324.6821688896,100,141,0
142,1324.9218225644,100,142,0
143,1325.1069305151,100,143,0
144,1325.2358391648,100,144,0
145,1325.3067826106,100,145,0
146,1325.3178731561,100,146,0
147,1325.2670908733,100,147,0
148,1325.1522720783,100,148,0
149,1324.9710965867,100,149,0
150,1324.7210735966,100,150,0
151,1324.3995260246,100,151,0
152,1324.0035730957,100,152,0
153,1323.5301109569,100,153,0
154,1322.9757910506,100,154,0
155,1322.3369959421,100,155,0
156,1321.6098122475,100,156,0
157,1320.7900002535,100,157,0
158,1319.8729597493,100,158,0
159,1318.8536915164,100,159,0
160,1317.7267538241,100,160,0
161,1316.4862131666,100,161,0
162,1315.1255883429,100,162,0
163,1313.6377868187,100,163,0
164,1312.0150321139,100,164,0
165,1310.2487807247,100,165,0
166,1308.3296268017,100,166,0
167,1306.2471924606,100,167,0
168,1303.9900011744,100,168,0
169,1301.5453311721,100,169,0
170,1298.8990451992,100,170,0
171,1296.0353928872,100,171,0
172,1292.9367791632,100,172,0
173,1289.583491303,100,173,0
174,1285.9533781213,100,174,0
175,1282.0214710328,100,175,0
176,1277.7595345642,100,176,0
177,1273.1355312902,100,177,0
178,1268.1129827264,100,178,0
179,1262.6502035207,100,179,0
180,1256.6993812666,100,180,0
181,1250.2054683671,100,181,0
182,1243.104849169,100,182,0
183,1235.3237366913,100,183,0
184,1226.7762406112,100,184,0
185,1217.3620639112,100,185,0
186,1206.9638017412,100,186,0
187,1195.4438604984,100,187,0
188,1182.6411523437,100,188,0
189,1168.3679498202,100,189,0
190,1152.4078938843,100,190,0
191,1134.5174747992,100,191,0
192,1114.4360798722,100,192,0
193,1091.9158135515,100,193,0
194,1066.7960364062,100,194,0
195,1039.1750575801,100,195,0
196,1009.7740611136,100,196,0
197,980.57989638892,100,197,0
198,955.43154827071,100,198,0
199,938.5786963419,100,199,0
200,928.31502458772,100,200,0
