id,vel_x,vel_y,x,y,z
0,0,0,100,0,0
1,-1.1402251483594e-08,0.010908263330954,100,1,0
2,-2.2190152086201e-08,0.037508793365689,100,2,0
3,-3.2397247167067e-08,0.080769125270251,100,3,0
4,-4.2052779862267e-08,0.13942950344527,100,4,0
5,-5.1182200379169e-08,0.21250331464322,100,5,0
6,-5.9808781196829e-08,0.2990313034545,100,6,0
7,-6.7954049593217e-08,0.39810061996411,100,7,0
8,-7.5636436104445e-08,0.50883986462463,100,8,0
9,-8.2874147537014e-08,0.63041733936673,100,9,0
10,-8.9684049318485e-08,0.76203966702373,100,10,0
11,-9.6082748926784e-08,0.90295089812576,100,11,0
12,-1.0208657369227e-07,1.0524319023037,100,12,0
13,-1.0771260165833e-07,1.2097998951956,100,13,0
14,-1.1297529084051e-07,1.3744079755562,100,14,0
15,-1.1789035555493e-07,1.5456445869648,100,15,0
16,-1.2247291314637e-07,1.722932852554,100,16,0
17,-1.2673809653047e-07,1.9057297599202,100,17,0
18,-1.3070034035616e-07,2.0935251951748,100,18,0
19,-1.3437378292794e-07,2.2858408394652,100,19,0
20,-1.3777205854367e-07,2.4822289495294,100,20,0
21,-1.409082925582e-07,2.6822710474574,100,21,0
22,-1.4379607963482e-07,2.8855765450786,100,22,0
23,-1.4644496862401e-07,3.0917813267452,100,23,0
24,-1.4886861577281e-07,3.3005463120638,100,24,0
25,-1.5107767359213e-07,3.5115560161241,100,25,0
26,-1.5307992644783e-07,3.7245171225674,100,26,0
27,-1.5488710151133e-07,3.9391570817912,100,27,0
28,-1.5650581990197e-07,4.1552227440988,100,28,0
29,-1.5794636204646e-07,4.3724790354831,100,29,0
30,-1.5921501611888e-07,4.5907076819264,100,30,0
31,-1.6032021984728e-07,4.8097059865644,100,31,0
32,-1.6126693627001e-07,5.0292856627859,100,32,0
33,-1.6206364703215e-07,5.2492717252661,100,33,0
34,-1.6271603016429e-07,5.4695014400278,100,34,0
35,-1.6322737815897e-07,5.6898233337853,100,35,0
36,-1.6360484785549e-07,5.9100962623476,100,36,0
37,-1.6385089054149e-07,6.1301885370653,100,37,0
38,-1.6397189366166e-07,6.3499771079483,100,38,0
39,-1.6396970076973e-07,6.5693468018051,100,39,0
40,-1.6385009969409e-07,6.7881896134075,100,40,0
41,-1.636143896425e-07,7.0064040474722,100,41,0
42,-1.6326769219096e-07,7.2238945090801,100,42,0
43,-1.6281301921987e-07,7.4405707400426,100,43,0
44,-1.6225312172177e-07,7.6563472986572,100,44,0
45,-1.6158629614859e-07,7.8711430802699,100,45,0
46,-1.6081911006454e-07,8.08488087607,100,46,0
47,-1.5995366298126e-07,8.2974869675835,100,47,0
48,-1.589921009738e-07,8.5088907544042,100,48,0
49,-1.5793648167242e-07,8.7190244127627,100,49,0
50,-1.5678460775289e-07,8.9278225826595,100,50,0
51,-1.5554228596387e-07,9.1352220813951,100,51,0
52,-1.5421121949896e-07,9.3411616413606,100,52,0
53,-1.5279320259031e-07,9.5455816701454,100,53,0
54,-1.5128586450398e-07,9.7484240311593,100,54,0
55,-1.4969474267014e-07,9.9496318430697,100,55,0
56,-1.4802021666066e-07,10.149149296479,100,56,0
57,-1.4626449741287e-07,10.346921486388,100,57,0
58,-1.4442736227378e-07,10.542894259101,100,58,0
59,-1.4251238855507e-07,10.737014072344,100,59,0
60,-1.4051998847687e-07,10.929227867465,100,60,0
61,-1.3845247527621e-07,11.119482952689,100,61,0
62,-1.363114036489e-07,11.307726896489,100,62,0
63,-1.3409440791116e-07,11.493907430231,100,63,0
64,-1.3180658189027e-07,11.677972359314,100,64,0
65,-1.2944936157696e-07,11.859869482124,100,65,0
66,-1.2702425734234e-07,12.039546516165,100,66,0
67,-1.2453272151405e-07,12.216951030823,100,67,0
68,-1.219727020619e-07,12.392030386251,100,68,0
69,-1.19349140939e-07,12.564731677901,100,69,0
70,-1.1666349962454e-07,12.735001686292,100,70,0
71,-1.1391734978339e-07,12.902786831659,100,71,0
72,-1.1110879430932e-07,13.068033133163,100,72,0
73,-1.0824268547536e-07,13.230686172365,100,73,0
74,-1.0532063648534e-07,13.390691060708,100,74,0
75,-1.0234427310794e-07,13.547992410771,100,75,0
